DATA_MANAGE_NO,DATA_TITLE_NM,THEME_NM,LWPRT_THEME_NM,CL_NM,LWPRT_CL_NM,SBJT_NM,MIDDL_SBJT_NM,SUMRY_CN,MAIN_THUMB_URL,CNTNTS_URL,CTPRVN_NM,SIGNGU_NM,ADDR,CTLSTT_LA,CTLSTT_LO,REGIST_DE,CORE_KWRD_CN,OPN_DE
6597,그림 - 1000미터가 넘는 산중에 은거한 합천 묘산 묵와 고가,생활문화,한국의 가옥,생활과 민속,생활,경상도의 가옥,반가(양반집),"경상북도 합천군 묘산면 화양리에 위치한 조선중기 양반사대부 가옥이다. 화양리는 가야산 줄기인 달윤산 자락의 산골로, 정쟁(政爭)과 전란의 화(禍)를 피하기 위해 여러 인물들이 이주해왔다. 묘산으로 처음 이주해 온 입향조는 윤장으로, 1453년 계유정난의 화를 피해 이곳으로 이주했다. 윤장이 터를 잡고 그의 손자인 묵와(默窩) 윤사성(尹思晟, 1557~1619)이 건립하였으며, 그의 10대손인 독립운동가 만송(晩松) 윤중수(尹中洙, 1891~1931)가 살던 집이다. 묵와고가(?窩古家)라는 편액처럼 고요한 옛집이다. 600평의 넓은 대지 위에 100칸에 이르는 큰 고택이었으나 지금은 대문간, 사랑채, 안채, 중문채, 중문행랑채, 사당채만이 남아 있다. 사랑채의 누마루는 양반사대부의 권위와 품격을 보여 주며, 짜임새있는 건물배치가 돋보인다.",,https://ncms.nculture.org/house/story/6597,경상남도,합천군,경상남도 합천군 묘산면 화양안성길 150-6,35.67910438,128.1309553,20230101,"파평윤씨, 묘산 묵와 고가, 합천군, 대저택",20231230
6602,"그림 - 200년이 넘은 초가집, 태안 상옥리 가영현 가옥",생활문화,한국의 가옥,생활과 민속,생활,충청도의 가옥,민가(서민집),"충청남도 태안군 태안읍 상옥리에 백화산을 뒤로 하고 건립된 200년 된 초가집이다. 흙담에 우진각 형식으로 초가를 얹은 전형적인 민가로 집 앞에는 넓은 농지가 펼쳐져 있어 농가의 살림집 분위기가 나지만, 이 집은 농가가 아니라 청빈의 덕목을 구현하고 있는 선비의 집이다. 이 집 주인은 15대째 이곳에서 거주한 소주 가씨 집안이다. 넓은 대지에 200년 전 몸채를 지었고, 이후 1940년대까지 부속 건물을 덧대어지으며 ㅁ자로 완성된 초가집이다. 돌을 정교하게 쌓은 담, 담 사이에 불뚝 솟은 굴뚝, 그리고 초가지붕이 조화를 이룬다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/143/73072/69969/c/%EC%B6%A9%EB%82%A8-%ED%83%9C%EC%95%88%EA%B5%B0_%ED%83%9C%EC%95%88%EC%83%81%EC%98%A5%EB%A6%AC%EA%B0%80%EC%98%81%ED%98%84%EA%B0%80%EC%98%A5-%286%29-thumb.jpg,https://ncms.nculture.org/house/story/6602,충청남도,태안군,충남 태안군 태안읍 상옥리 816,36.77703042,126.3167893,20230101,,20231230
6611,그림 - 중국 장수 때문에 이름이 생긴 전라북도 군산시의 어청도,생활문화,지명유래,"구비전승,어문학",지명유래,전라북도 지역의 지명유래,,"전라북도 군산시 옥도면에 어청도(於靑島)라는 섬이 소재한다. 기원전 202년, 한나라의 고조가 항우(項羽)를 물리치고 중국을 통일하자, 항우의 재상이었던 전횡(田橫)이 군사 500명을 이끌고 망명길에 올랐다. 돛단배를 타고 서해를 목적지 없이 떠다니던 전횡 일행은 안개 때문에 푸른 산[섬] 한 개와 갑자기 마주치게 되었다. 전횡은 그 산 앞에 배를 멈추게 하고는 앞에 보이는 섬을 푸를 ‘청(靑)’자를 써서 ‘어청도’라 이름 지었다고 한다.",,https://ncms.nculture.org/origin-of-place-names/story/6611,전라북도,군산시,전북 군산시 옥도면 어청도리 387-9,36.11644348,125.983255,20230101,"전라북도, 군산시, 어청도, 고군산군도, 전횡, 설화, 전설, 지명유래",20231230
6615,"그림 - 고승 신미와 세조의 글, 상원사 중창 권선문",역사문화유산,한국의 기록문화,문화유산,기타,강원도의 기록문화,종이자료,"『상원사 중창 권선문』은 1464년 강원도 상원사를 새로 지을 때 작성된 두 첩의 글을 말한다. 현재 강원도 평창군 월정사에 소장되어 있다. 두 편의 글은 고승 신미와 세조가 작성한 것으로 임금의 만수무강을 빌고, 백성들에게 부처님의 자비가 두루 미치길 바란다는 내용을 담고 있다. 상원사를 중창에 널리 참여할 것을 알리고 필요한 물자의 시주를 권하는 모연문의 성격을 지닌 글이라고 하여 『상원사 중창 권선문』이라고 부른다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/174/72309/65213/c/평창-상원사-중창권선문-수결-및-인기부분_문화재청_제1유형-thumb.jpg,https://ncms.nculture.org/archival/story/6615,강원특별자치도,평창군,강원 평창군 진부면 오대산로 176 월정사성보박물관,37.71884927,128.6029578,20230101,"오대산, 상원사, 월정사, 신미, 세조",20231230
6622,그림 - 피난 온 인조를 도와준 충청남도 공주시의 조왕동,생활문화,지명유래,"구비전승,어문학",지명유래,충청남도 지역의 지명유래,,"충청남도 공주시 우성면 동곡리에 ‘조왕동(助王洞)’ 또는 ‘조왕골’이라 부르는 마을이 있다. 조선시대 인조 때 이괄(李适)이 난을 일으켰다. 인조는 공주시 인근으로 피난을 왔다. 동곡리에 도착해 ‘노숙(盧潚)’이라는 사람의 집 앞에서 하룻밤 묵어갈 것을 청했다. 인조가 노숙의 집에 머무르는 동안 이괄의 난이 모두 평정되었다. 한양으로 돌아간 인조는 이괄의 난으로 인한 피해들을 모두 복구하고, 자신이 공주로 피난 갔을 때 며칠 동안 따뜻하게 대해주던 노숙과 동곡리 마을 사람들이 떠올랐다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/122/73051/69741/c/%EC%B6%A9%EB%82%A8-%EA%B3%B5%EC%A3%BC%EC%8B%9C_%EC%A1%B0%EC%99%95%EB%8F%99_%EC%A1%B0%EC%84%A0%EC%9D%B8%EC%A1%B0%EC%9E%84%EA%B8%88-%EA%B3%B5%EC%A3%BC-%ED%8C%8C%EC%B2%9C-%EA%B8%B0%EB%85%90%EB%B9%84-%282%29-thumb.jpg,https://ncms.nculture.org/origin-of-place-names/story/6622,충청남도,공주시,충남 공주시 우성면 동곡리 321-5,36.50453076,127.1011208,20230101,"충청남도, 인조, 이괄, 조왕동, 설화, 전설, 지명유래",20231230
6623,그림 - 경솔함을 경계해 세 번 움직이는 전라남도 영암의 삼동석,생활문화,지명유래,"구비전승,어문학",지명유래,전라남도 지역의 지명유래,,"전라남도 영암군 영암읍에 월출산이 소재해 있다. 월출산 구정봉 정상 암반을 ‘신령암(神靈岩)’ 또는 ‘삼동석(三動石)’이라 부른다. 영암군 구림마을로 유배를 온 한 장군의 유복자로 태어난 동차진이라는 사람이 있었다. 그는 비범한 능력을 가지고 있어서 금강산으로 들어가 10년 동안 무술을 배웠다. 북쪽에서 오랑캐가 침입했을 때, 도술을 사용해 물리치자, 옥황상제의 노여움으로 죽게 되었다. 그 후 동차진은 구정봉에 오른 사람들에게 경솔함을 경계하기 위해 신령암을 세 번 움직이게 했다고 한다.",,https://ncms.nculture.org/origin-of-place-names/story/6623,전라남도,영암군,전남 강진군 성전면 월하리 산 141,34.74747777,126.6770703,20230101,"전라남도, 영암군, 구정봉, 신령암, 월출산, 설화, 전설, 지명유래",20231230
6627,그림 - 원수처럼 지내던 정승이 예를 갖춘 전라남도 구례,생활문화,지명유래,"구비전승,어문학",지명유래,전라남도 지역의 지명유래,,"전라남도 ‘구례군(求禮郡)’의 옛 지명은 ‘봉성(鳳城)’이었다. 구례군 구례읍 뒷산의 지형이 봉황과 닮았다고 해서 생긴 지명이다. 백제시대에 사이가 좋지 않던 두 정승이 살고 있었다. 이들 정승은 만나기만 하면 싸웠다. 그러던 중 한 정승이 먼저 벼슬길에서 물러나 구례에서 은거 생활을 하였다. 그리고 다른 정승도 벼슬길에서 물러나 노년 생활을 할 거주지를 찾아 나섰다. 그러다가 구례에서 두 정승은 만나게 되고, 두 정승이 구례에서 함께 머물기로 결정하였다. 두 정승의 이야기를 들은 백제의 왕은 ‘원수가 서로 예를 찾은 곳’이라는 의미로 ‘구차례(求次禮)’라는 지명을 지어주었다고 한다.",,https://ncms.nculture.org/origin-of-place-names/story/6627,전라남도,구례군,전라남도 구례군 구례읍 봉성로 1,35.20251985,127.4626906,20230101,"전라남도, 구례군, 봉성, 구차례, 백제, 설화, 전설, 지명유래",20231230
6628,그림 - 충렬왕이 후궁에게 하사한 전라남도 영암의 나불도,생활문화,지명유래,"구비전승,어문학",지명유래,전라남도 지역의 지명유래,,"전라남도 영암군 삼호읍에 ‘나불도(羅佛島)’ 또는 ‘나발섬’이라 불리는 섬이 있었다. 섬의 지형이 나발(놋쇠로 긴 대롱같이 만든 악기)처럼 생긴 것에서 비롯되었다고 하며, 아라한(阿羅漢)과 부처가 영산강을 건너 들어간 섬이라고 해서 아라한의 ‘라’와 부처[佛]를 줄여 나불도(羅佛島)라 했다고 한다. 한편 나불도는 고려 충렬왕이 후궁에게 하사한 섬이라는 유래가 전해진다.",,https://ncms.nculture.org/origin-of-place-names/story/6628,전라남도,영암군,전라남도 영암군 삼호읍 나불리,34.7708612,126.4491821,20230101,"전라남도, 영암군, 나불도, 나발섬, 갓바위, 설화, 전설, 지명유래",20231230
6632,그림 - 호랑이가 잡아 준 뫼터,생활문화,지역설화,"구비전승,어문학",어문학,경상도·대구·부산 지역의 전설,,경상북도 녹전면에서 남쪽으로 약 1킬로미터 떨어진 곳에 호암 마을이 있다. 이곳에서 비록 가난하지만 효심 깊은 아들과 노부부가 살고 있었다. 할아버지는 나이가 많아 병석에 눕게 되고 아들이 약을 구하러가는 사이에 돌아가시게된다. 약을 구하는 과정에서 아들은 호랑이를 도와주게 되는데 그 호랑이는 은혜를 갚기 위해 좋은 뫼자리를 알려주었다.,,https://ncms.nculture.org/traditional-stories/story/6632,경상북도,안동시,경상북도 안동시 녹전면,36.74291152,128.7736685,20230101,"호랑이, 뫼터, 은혜, 효자, 약",20231230
6634,그림 - 퇴계 선생과 기생과 매화,생활문화,지역설화,"구비전승,어문학",어문학,경상도·대구·부산 지역의 전설,,도산서원에는 여러 가지 나무들이 심어져있는데 봄에 피는 매화에는 전해지고 있는 전설이 있다. 퇴계 선생이 단양군수로 있을 때 퇴계 선생을 좋아했던 기생이 있었다. 그 기생은 퇴계 선생에게 음식과 옷 등을 갖다주며 마음을 표현했지만 선생은 마음을 거절하였다. 기생은 선생의 종에게 그가 좋아하는게 뭐냐고 물었더니 종은 ‘매화’라 하였다. 기생은 종을 시켜 세상에서 가장 아름다운 매화를 찾아오라고 시키고 그 매화를 퇴계 선생에게 주었다. 퇴계 선생은 매화를 단양군청에 심어 지금의 매화나무가 자리잡게 되었다.,https://minio.nculture.org/amsweb-opt/multimedia_assets/244/97870/114973/c/안동-도산서원_도산서원-가는길_rev-thumb.jpg,https://ncms.nculture.org/traditional-stories/story/6634,경상북도,안동시,경상북도 안동시 도산면 토계리 680,36.72711452,128.8434247,20230101,"퇴계 이황, 기생, 매화, 도산서원",20231230
