DATA_MANAGE_NO,DATA_TITLE_NM,THEME_NM,LWPRT_THEME_NM,CL_NM,LWPRT_CL_NM,SBJT_NM,MIDDL_SBJT_NM,SUMRY_CN,MAIN_THUMB_URL,CNTNTS_URL,CTPRVN_NM,SIGNGU_NM,ADDR,CTLSTT_LA,CTLSTT_LO,REGIST_DE,CORE_KWRD_CN,OPN_DE
6111,그림 - 한강을 따라 올라오는 적군을 감시하는 서울 홍련봉1~2보루,역사문화유산,한국의 관방문화,문화유산,건축유적,서울 관방유적,보루,"홍련봉은 땅콩 모양으로 가운데가 잘록하고 양쪽으로 작은 봉우리를 이루고 있다. 해발 125.1m의 남쪽 봉우리에 1보루가 있고, 해발 126.3m의 북쪽 봉우리에 2보루가 있다. 두 보루 사이는 약 150m 정도 떨어져 있다. 홍련봉보루에 오르면 송파구와 강동구 일대가 한눈에 들어온다. 그곳에는 한강과 풍납토성과 몽촌토성이 있다. 이 때문에 한강을 거슬러 오는 적을 관측할 수 있어 미리 전쟁에 대비하기 좋은 위치를 점하고 있다. 홍련봉보루 뒤로는 아차산",https://minio.nculture.org/amsweb-opt/multimedia_assets/160/72295/65160/c/홍련봉보루_문화재청_제1유형-(2)-thumb.jpg,https://ncms.nculture.org/fortress/story/6111,서울특별시,광진구,서울 광진구 광장동 381-65,37.55100815,127.0990208,20200908,"홍련봉, 홍련봉보루, 서울, 아차산",20230330
6112,"그림 - 1보루는 보전되고, 2, 3보루는 훼손된 서울 망우산1~3보루",역사문화유산,한국의 관방문화,문화유산,건축유적,서울 관방유적,봉수,"망우산(忘憂山)은 해발 281m로 산을 이어가며 3개의 보루(堡壘)가 있다. 망우산에서 보면 중랑천을 비롯한 한강과 도봉산과 불암산 등이 잘 보인다. 망우산 1보루는 어느 정도 보전이 되었으나 2, 3보루는 망우 묘역을 만드는 과정에서 많이 훼손되어 원형을 파악하기가 어렵다. 주변에서 고구려 토기 조각과 민무늬 토기 조각이 발견되었다. 망우산 보루 바로 옆에 시루봉 보루와 용마산 보루와 아차산 보루가 있다.",,https://ncms.nculture.org/fortress/story/6112,서울특별시,중랑구,경기 구리시 교문동 산 84-2,37.5914194,127.1122993,20200908,"망우산, 중랑천, 망우산보루, 서울, 1보루, 2보루, 3보루",20230330
6149,그림 - 전형적인 안동지역의 사대부가옥인 안동 학암종택,생활문화,한국의 가옥,생활과 민속,생활,경상도의 가옥,반가(양반집),"경상북도 안동시 풍산읍 오미리에 위치한 조선 중종대의 청백리 허백당(虛白堂)의 12대손인 학암(鶴巖) 김중휴(金重休, 1797~1863)가 분가하면서 지은 건물이다. 김중휴가 제릉참봉을 지냈기에 ‘참봉댁’이라고도 부른다. 안동지역에 보편적인 형태인 ㅁ자형 몸채로 ㄱ자형 안채를 중심으로 정면 하단에 ?자형 사랑채와 일자형 중간채에 연접해 있다. 안채 우측에는 4칸 규모의 곳간채가 있어 이 집의 경제적 부유함을 느낄 수 있다. 조선후기로 오면 사랑채 공간이",https://minio.nculture.org/amsweb-opt/multimedia_assets/63/85758/93046/c/안동-학암종택-(1)_rev-thumb.jpg,https://ncms.nculture.org/house/story/6149,경상북도,안동시,경상북도 안동시 풍산읍 오미리 248,36.59755216,128.5222435,20200908,"안동시,양반집,ㅁ자형구조,학암,김중휴,학암종택,참봉택",20230330
6307,"그림 - 임진왜란을 피해 조선왕조실록을 지킨 이야기, 전북 정읍 임계기사",역사문화유산,한국의 기록문화,문화유산,기타,전라도 광주의 기록문화,종이자료,전라북도 정읍시 부전동 정읍시립박물관에는 『임계기사(壬癸記事)』라는 책이 소장되어 있다. 『임계기사』는 임진왜란 때 전라북도 정읍시에 살던 안의(安義)와 손홍록(孫弘祿)이 전주사고에 있던 『조선왕조실록』을 내장산으로 옮겨 1년 남짓 전쟁을 피해 온전히 지켜낸 과정을 기록한 자료이다. 안의와 손홍록의 행적이 담긴 『임계기사』를 통해 『조선왕조실록』을 지켜낸 숭고한 업적을 확인할 수 있다.,,https://ncms.nculture.org/archival/story/6307,전라북도,정읍시,전라북도 정읍시 부전동 1009,35.52779271,126.8945449,20200917,"안의, 조선왕조실록, 임계기사, 손흥록, 전주사고, 조선왕조실록길, 내장산, 정읍시립박물관",20230330
6342,그림 - 맷돌질하며 부르는 제주도 서귀포시 성읍마을의 「이여도하라소리」,생활문화,노동요,생활과 민속,민속,제주도 노동요,공산노동요,"제주특별자치도 서귀포시 표선면 성읍리에는 성읍민속마을이 있다. 맷돌질은 제주도에서 많이 심는 보리나 조 등을 맷돌에 가는 것으로, 맷돌질을 할 때 노래를 부른다. 혼자서 할 때는 독창을, 둘이서 할 때는 매기는 소리와 받는 소리로 선후창을 한다. 「이여도하라소리」는 맷돌질을 할 때 부르는 선후창인데, 노랫가사는 맷돌질과 직접 관련된 내용보다 생활에 대한 내용으로 구성되어 있다.",,https://ncms.nculture.org/labour-song/story/6342,제주특별자치도,서귀포시,제주 서귀포시 표선면 중산간동로 4658 성읍1리정보사랑방,33.38995717,126.7977806,20200920,"맷돌질, 성읍마을, 이여도하라소리",20230330
6343,그림 - 집줄을 만들며 부르는 제주도 서귀포시 덕수마을의 「상사소리」,생활문화,노동요,생활과 민속,민속,제주도 노동요,공산노동요,"제주특별자치도 서귀포시 안덕면 덕수리는 면의 가장 서쪽에 위치해 있다. 제주도는 바람이 세게 부는 곳이므로 바람에 지붕이 날아가지 않도록 줄을 엮어서 단단히 묶는데, 이렇듯 지붕을 바둑판처럼 얽어매는 것을 ‘집줄 놓는다’고 한다. 줄을 엮을 때는 선소리꾼의 메기는 소리에 맞춰 받는 사람들은 후렴인 ‘상사∼뒤야’를 반복적으로 구성하는 「상사소리」를 부른다. 노랫말은 줄 놓을 때 지시하는 내용으로 이루어져 있다.",,https://ncms.nculture.org/labour-song/story/6343,제주특별자치도,서귀포시,제주특별자치도 서귀포시 안덕면 덕수회관로 98,33.25461251,126.3064721,20200920,"억새, 지붕, 상소소리, 집, 덕수마을, 집줄, 띠",20230330
6344,"그림 - 1500명이 불사를 일으킨 기록, 철조비로자나불좌상기",역사문화유산,한국의 기록문화,문화유산,기타,강원도의 기록문화,금석자료,"강원도 철원군 동송읍에 있는 도피안사(到彼岸寺)의 대적광전(大寂光殿)에는 철조비로자나불좌상이 있다. 경문왕(景文王) 5년인 865년에 조성된 철불이다. 뒷면에는 당시 불상의 조성 경위와 관련한 명문이 새겨져 있다. 철원군 향도(香徒) 1,500여 명이 불심으로 대동단결하여 불상을 건립하였다는 내용이다. 총 139자로서 현재 7자는 판독할 수 없다. 6.25 당시 도피안사가 전소되어 소실될 위기에 놓였지만, 이후 국군 15사단에 의해 보수되어 지금까지 유",,https://ncms.nculture.org/archival/story/6344,강원도,철원군,동송읍 도피동길 23(관우리) 도피안사,38.24034105,127.218342,20200920,"도선국사, 철원, 도피안사, 비로자나불좌상기",20230330
6482,그림 - 부산과 남포동 건어물 시장의 이야기를 담은 B.4291,생활문화,우리마을이야기,자연과 지리,마을경관,부산 마을 산책,,"부산 중구 남포동 건어물 도매시장에 있는 복합문화공간. 본래 건물은 1958년 건립된 수협 건어물 위판장이었다. 세월이 흘러 수협 위판장이 신축 자갈치 위판장 건물로 이전함에 따라 건물만 남게 되었고, 2019년 도시재생 프로젝트가 추진됨에 따라 남겨진 옛 건물의 외형을 살린 복합문화공간으로 재탄생했다. 소포장 된 건어물과 건어물을 모티프로 한 소품 등을 판매하며, 전시회나 제품설명회, 플리마켓 등도 열리고 있다.",https://minio.nculture.org/amsweb-opt/multimedia_assets/179/72563/65829/c/3-6.-%EB%B6%80%EC%82%B0-%EB%82%A8%ED%95%AD%EC%9D%84-%EC%A1%B0%EB%A7%9D%ED%95%A0-%EC%88%98-%EC%9E%88%EB%8A%94-2%EC%B8%B5-%EC%B9%B4%ED%8E%98-%EC%85%80-%EB%A1%9C%EC%8A%A4%ED%84%B0%EC%8,https://ncms.nculture.org/story-of-our-hometown/story/6482,부산광역시,중구,부산 중구 용미길10번길 1,35.09683833,129.0347275,20201005,"수산시장, 복합문화공간, 부산 남포동, B.4291",20230330
6539,그림 - 마을 입구와 중앙에 8기가 서 있는 경남 사천의 가산리 석장승,역사문화유산,한국의 석조문화,문화유산,조각,생활/민속 석조문화,석장승,"가산리 석장승은 경상남도 사천시 축동면 가산리에 세워져 있다. 가산리 마을에서는 가산리석장승을 ‘석장승’, ‘벅수’, ‘신장’, ‘수위신장’, ‘수호장승’ 이라고 부른다. 가산리 석장승은 모두 8기이며,  마을 입구 삼거리 양쪽에 남장승과 여장승이 각각 2기, 마을 중앙 당수나무 밑에 남장승과 여장승이 각각 2기가 세워져 있다. 당산제는 매년 정월 보름날 아침에 지내며, 당산제를 마치면 마을 중앙에 있는 장승에 장승제를 지내고, 다음으로 마을 입구에 있",https://minio.nculture.org/amsweb-opt/3ds/192/84547/84547_thumbnail.jpg,https://ncms.nculture.org/stonecraft/story/6539,경상남도,사천시,경상남도 사천시 축동면 가산리 626-1,35.08772584,128.042708,20201006,"당산제, 장승제, 조창, 가산창, 사천 가산리",20230330
6563,그림 - 옷바위 이야기,생활문화,지역설화,"구비전승,어문학",어문학,전라도·광주 지역의 전설,,"옷바위라는 바위의 유래담으로 이야기되는 아기장수 이야기이다. 옛날에 아기를 낳았는데, 아기가 장수로 태어났다. 그래서 갑옷을 입고 매시낭골로 떠났다고 한다. 그리고 이 동네는 옵바우라고 이름이 지어졌다구 한다. 그 바위는 거북이형으로 생겼다고 한다. 받침돌이 있는 것이 아니라 원 돌과 암반이 자연적으로 붙여졌다고 한다.",,https://ncms.nculture.org/traditional-stories/story/6563,전라북도,완주군,전라북도 완주군 상관면 의암리,35.80211168,127.2321889,20201007,"아기장수, 옷바위, 매시낭골",20230330
